SKILL
Coding: Python
Coding: Processing
Coding: Django
Graphic design
Wood carving
Clay Sculpting
Team Management
Workshop Coordination
Budgeting
Marketing
Product design
Creative writing
Lecturing
Painting
Social entrepreneurship
Drawing
